pmid,title,abstract,authors,journal,pub_date
10227725,Mucin histochemical analysis of minute gastric differentiated adenocarcinoma.,"Fifty-six surgically resected intramucosal differentiated adenocarcinomas (DA) of the stomach with a maximum diameter of less than 5 mm were analyzed by mucin histochemistry. Gastric type phenotypic expression was observed in 41.1% of cases, intestinal type in 28.6% and gastric-intestinal type in 28.6% of all cancers. Gastric type phenotypic expression was the most frequent. As the tumor diameter increased, the incidence of DA with gastric phenotype tended to decrease. Intestinal metaplasia of the cancer's surrounding mucosa was absent or slight in DA with gastric phenotype, but moderate to severe in DA with gastric-intestinal phenotype and intestinal phenotype. Morphologically and mucin histochemically, intestinal metaplasia surrounding DA with gastric phenotype was immature and incomplete compared with DA with gastric-intestinal phenotype or intestinal phenotype. It is suggested that a large amount of DA with gastric phenotype is histogenetically derived from the gastric gland proper without intestinal metaplasia. However, as the tumor grows and intestinal metaplasia progresses, intestinal type phenotypic expression appears and then DA with gastric phenotype changes into DA with gastric-intestinal phenotype or intestinal phenotype.",Egashira Y; Shimoda T; Ikegami M,Pathology international,"{'Year': '1999', 'Month': 'Jan'}"
21952583,Revisit of field cancerization in squamous cell carcinoma of upper aerodigestive tract: better risk assessment with epigenetic markers.,"We quantified field cancerization of squamous cell carcinoma in the upper aerodigestive tract with epigenetic markers and evaluated their performance for risk assessment. Methylation levels were analyzed by quantitative methylation-specific PCR of biopsied specimens from a training set of 255 patients and a validation set of 224 patients. We also measured traditional risk factors based on demographics, lifestyle, serology, genetic polymorphisms, and endoscopy. The methylation levels of four markers increased stepwise, with the lowest levels in normal esophageal mucosae from healthy subjects without carcinogen exposure, then normal mucosae from healthy subjects with carcinogen exposure, then normal mucosae from cancer patients, and the highest levels were in cancerous mucosae (P < 0.05). Cumulative exposure to alcohol increased methylation of homeobox A9 in normal mucosae (P < 0.01). Drinkers had higher methylation of ubiquitin carboxyl-terminal esterase L1 and metallothionein 1M (P < 0.05), and users of betel quid had higher methylation of homeobox A9 (P = 0.01). Smokers had increased methylation of all four markers (P < 0.05). Traditional risk factors allowed us to discriminate between patients with and without cancers with 74% sensitivity (95% CI: 67%-81%), 74% specificity (66%-82%), and 80% area under the curve (67%-91%); epigenetic markers in normal esophageal mucosa had values of 74% (69%-79%), 75% (67%-83%), and 83% (79%-87%); and both together had values of 82% (76%-88%), 81% (74%-88%), and 91% (88%-94%). Epigenetic markers done well in the validation set with 80% area under the curve (73%-85%). We concluded that epigenetics could improve the accuracies of risk assessment.",Lee YC; Wang HP; Wang CP; Ko JY; Lee JM; Chiu HM; Lin JT; Yamashita S; Oka D; Watanabe N; Matsuda Y; Ushijima T; Wu MS,"Cancer prevention research (Philadelphia, Pa.)","{'Year': '2011', 'Month': 'Dec'}"
15242372,Urethral 'recurrence' found 14 years after radical cystectomy.,"We report a case of transitional cell urethral cancer diagnosed 14 years after radical cystectomy. Traditionally, in the postcystectomy setting, these cancers have been referred to as 'recurrences'. We review the biological models for the oncogenesis of these cancers and propose that they are typically a result of a field cancerization effect, rather than being derived from the same clone responsible for the original urothelial tumor.",Sorscher S; Islam R; Mason A,International journal of urology : official journal of the Japanese Urological Association,"{'Year': '2004', 'Month': 'Jul'}"
27868405,[Expression of CD10 in tumor-associated fibroblast of cancerized or recurrent colorectal adenomas].,"<b>Objective:</b> To investigate the expression of CD10 in tumor-associated fibroblasts (TAF) in colorectal adenomas and its relation to cancerization and recurrence of adenoma. <b>Methods:</b> Tissue samples of low-grade adenoma (<i>n</i>=50), high-grade adenoma (<i>n</i>=50) and colorectal adenocarcinoma (<i>n</i>=50) were collected, and tissue samples at the distal margin of corresponding colorectal lesions were taken as controls. The expression of CD10 in the stromal TAFs, and the expressions of β-catenin, Ki-67, p53 and CyclinD1 in tumor cells were detected by immunohistochemistry (Envision). The correlation of CD10 expression in stromal TAFs with the expressions of β-catenin, Ki-67, p53 and CyclinD1 in tumor cells was analyzed by Spearmen. One hundred samples of low-grade colorectal adenoma were collected, including 57 non-recurrent cases and 43 recurrent cases (16 cases of recurrent adenoma and 27 cases of recurrent adenocarcinoma); the expression of stromal TAF CD10 were determined and compared among groups. <b>Results:</b> There was no TAF in normal colorectal mucosa. The expression rates of TAF CD10 in low-grade adenoma, high-grade adenoma and colorectal adenocarcinoma were 22%, 50% and 78%, respectively (all <i>P</i><0.05). The expression of Ki-67 and β-catenin in low-grade adenoma, high-grade adenoma, colorectal adenocarcinoma was on a rising trend (all <i>P</i><0.01). The expression of CyclinD1 in high-grade adenoma was higher than that in colorectal adenocarcinoma and low-grade adenoma (all <i>P</i>>0.05). The expression of p53 in colorectal adenocarcinoma and high-grade adenoma was higher than that in low grade adenoma (all <i>P</i><0.01). The expression of TAF CD10 was correlated with the expression of p53, Ki-67 and β-catenin-nucleus(<i>r</i>=0.264、0.307、0.320, all <i>P</i><0.01),but not correlated with CyclinD1 and β-catenin-membrane (<i>r</i>=0.012、-0.073, all <i>P</i>>0.05). The TAF CD10 level was significantly higher in low-grade adenoma with recurrence than that in those without recurrence (<i>P</i><0.05).The expression of CD10 in recurrent colorectal adenocarcinoma was higher than that in recurrent adenoma (<i>P</i><0.05). <b>Conclusion:</b> The expression of TAF CD10 is increased gradually in the process of adenoma-cancer, indicating that it may play an important role in the canceration of adenoma. Adenomas with high expression of CD10 TAF are likely to be recurrent and cancerized, and detection of TAF CD10 combined with p53, Ki-67 and β-catenin may be of value in predicting canceration or recurrence of colorectal adenoma.",Zheng J; Zhu Y; Li C; Li Y; Nie Q; Zhu Z; Deng H,Zhejiang da xue xue bao. Yi xue ban = Journal of Zhejiang University. Medical sciences,"{'Year': '2016', 'Month': 'May', 'Day': '25'}"
1602949,[Thyroid epitheliomas in French Polynesia].,"The authors reviewed 34 cases of thyroid epithelioma registered in French Polynesia from 1985 to 1990. Annual incidence classifies French Polynesia as a region with low endemicity. The patients were 31 females and 3 males. In 18 cases, carcinoma was discovered within a multiheteronodular goitre (MHNG) and in 16 cases within an isolated nodule. In each of these sub-groups, 4 micropapilliform cancers discovered at the occasion of a histopathological test. The mean age of the patients carrying a noduliferous cancer is 36.5 years and the one of multiheteronodular goitre is 50. No particular risk factor was discovered. Mean age of the disease is 2.8 years as far as noduliferous cancers are concerned, and 8.5 years for multiheteronodular goitre. The anatomical and echographic characters are discussed. What demanded a surgery intervention is reviewed. Mortality during intervention is zero. Morbidity recorded 17% of unilateral recurrent paralysis and 50% of transitory parathyroid insufficiency. Extemporaneous anatomopathological test was contributing in 25% of the cases; definitive test revealed 25 (74%) papilliform cancers (of which 8 micropapilliforms) and 9 vesicular cancers (26%). No canceration anaplasia was discovered. Evolutive stage is precised: 7 local invasions (isthm and/or capsule), 4 bifocal localizations, 8 cancers with adenoid metastasis, 4 with osseous and/or pulmonary metastasis. The way to select a therapy is reported and discussed. Cost evaluation is suggested in order to discuss the possibility to acquire for the Territory an equipment for isotopic exams.",Gras C; Picherit H; Boissin JL; Giraud P; Brisard M; Peccarrere JL; Boz P; Tranier J; Louis P; Barthes C,Medecine tropicale : revue du Corps de sante colonial,"{'Year': '1992', 'Season': 'Jan-Mar'}"
12688418,Oxidative DNA base modifications and polycyclic aromatic hydrocarbon DNA adducts in squamous cell carcinoma of larynx.,"Tobacco smoke, recognized as a major etiological factor for cancers of the upper aerodigestive tract, represents an abundant source of reactive oxygen species (ROS), which are believed to play a significant role in mutagenesis and carcinogenesis. An additional source of ROS in tissues exposed to tobacco smoke may be metabolic oxidation of polycyclic aromatic hydrocarbons (PAH). To investigate the relationships between oxidative DNA lesions and aromatic DNA adducts, six modified DNA bases 5-hydroxyuracil, 5-hydroxycytosine, 7,8-dihydro-8-oxoguanine, 7,8-dihydro-8-oxoadenine, 2,6-diamino-4-hydroxy-5-formamidopyrimidine and 4,6-diamino-5-formamidopyrimidine and the total level of PAH-related DNA adducts were measured in cancerous and the surrounding normal larynx tissues (68 subjects), using gas chromatography/isotope-dilution mass spectroscopy with selected ion monitoring and the 32P-postlabeling-HPLC assay, respectively. The levels of oxidative DNA lesions in cancerous and adjacent tissue were comparable; the differences between the two types of tissue were significant only for 5-hydroxypyrimidines (slightly higher levels were observed in the adjacent tissue). Comparable levels of DNA lesions in cancerous and the surrounding normal tissues observed in the larynx tumors support a field cancerization theory. The surrounding tissues may still be recognized as normal by histological criteria. However, molecular alterations resulting from the chronic tobacco smoke exposure, which equally affects larynx epithelia, may lead to multiple premalignant lesions. Thus, a demonstration of similar levels of DNA damage in cancerous and the adjacent tissue could explain a frequent formation of secondary tumors in the larynx and the frequent recurrence in this type of cancer. A weak, but distinct effect of tumor grading and metastatic status was observed in both kinds of tissue in the case of 5-hydroxyuracil, 5-hydroxycytosine, 7,8-dihydro-8-oxoguanine, 7,8-dihydro-8-oxoadenine. This effect was displayed as a gradual shift in the data distribution toward high values from G1 through G2-G3 and from non-metastatic to metastatic tumors. Since the levels of oxidative DNA base modifications tended to increase with the tumor aggressiveness, we postulate that the oxidative DNA lesions increase genetic instability and thus contribute to tumor progression in laryngeal cancer. No associations between aromatic adduct levels and oxidative DNA lesions were present, suggesting that the metabolism of PAH does not contribute significantly to the oxidative stress in larynx tissues, remaining the tobacco smoke ROS as a major source of oxidative DNA damage in the exposed tissue.",Jałoszyński P; Jaruga P; Oliński R; Biczysko W; Szyfter W; Nagy E; Möller L; Szyfter K,Free radical research,"{'Year': '2003', 'Month': 'Mar'}"
31479804,Laser-assisted MAL-PDT associated with acoustic pressure wave ultrasound with short incubation time for field cancerization treatment: A left-right comparison.,"Laser-assisted MAL-PDT has been reported to increase the effectiveness of conventional PDT. Nonetheless, clinical effects of this association when reducing MAL incubation time is poorly discussed. Furthermore, the association of acoustic pressure wave ultrasound with laser-assisted MAL-PDT with short incubation time for field cancerization had not been reported before. To compare clinical effects of ablative fractional laser-assisted MAL-PDT associated with acoustic pressure wave ultrasound (IMPACT US) with 1-hour incubation time and conventional MAL-PDT for skin field cancerization on the forearms, as well as the impact on safety and tolerability. Fifteen patients with 638 AK (grade I-III) with field cancerized-skin on the forearms were enrolled in this left-right trial. Two protocols were randomly chosen. One side was treated with conventional MAL-PDT, whereas the other with laser-assisted MAL-PDT associated with acoustic pressure wave ultrasound with 1-hour incubation time. Actinic keratoses were quantitively measured, and the other signs of sun-damaged skin, like pigmentation and texture, in field cancerized skin were qualitatively evaluated before and after six months. Side effects were assessed subjectively during the procedure and one week after. All patients completed the study. At six months after treatment, both protocols reduced the number of AK (72%; CO2 + PDT, and 65%; MAL-PDT). The difference between these two protocols was not statistically significant (p = 0.77). The improvement of pigmentation and texture of field cancerized skin was more significant on the side treated with laser-assisted MAL-PDT associated with acoustic pressure wave ultrasound. Both protocols were well tolerated and without significant difference in adverse events. Laser-assisted MAL-PDT using CO2 laser and acoustic pressure wave ultrasound with short incubation time of 1 h was as effective as conventional MAL-PDT for field-cancerized skin with actinic keratosis in forearms with better cosmetic outcome.",Pires MTF; Pereira AD; Durães SMB; Issa MCA; Pires M,Photodiagnosis and photodynamic therapy,"{'Year': '2019', 'Month': 'Dec'}"
6677123,[Histological study of urinary bladder tumor: DNA of rat urinary bladder tumor caused by N-butyl-N-(4-hydroxybutyl) nitrosamine and that of human bladder tumor].,"Male Fisher rats were treated with 0.5% BBN, and the appearance of cancer in the rat's bladder was observed successively. The quantities of DNA in the normal and tumorous tissues were compared with those in the bladder cancer excised from man; and, the bladder cancer produced in the rat and that occurring in man were compared. 96 rats were divided into 4 groups, and given 8, 16, 24 or 32 weeks of treatment with BBN. Papillomas appeared after administration for 8 weeks, and with subsequent increase in the period of administration the rate of canceration increased. The cancerous tissue proliferated papillarily , the malignancy was grade 1 to 2, no case showed infiltration into the muscle layer, and the quantity of DNA scarcely changed with time, always showing a peak near 2c. In the papillary type of bladder cancer in man, the quantity of DNA showed little change at any stage, and little tendency of infiltration; and, the growth pattern was similar to that of the BBN-induced cancer in rats. On the other hand, non-papillary cancer in man showed a flat histogram of DNA, had a strong tendency of infiltration, and showed a growth pattern different from that of the BBN-induced cancer in rats, thus the BBN-induced cancer in the rat cannot be used as a model of non-papillary infiltrative cancer.",Murase T; Kobayashi O; Aota Y; Mitsuta H; Koshikawa T,Hinyokika kiyo. Acta urologica Japonica,"{'Year': '1983', 'Month': 'Mar'}"
2263905,[Carcinoma of the gastric stump].,"The problems related to the postgastrectomy cancers occurrence are studied in the present work. A total of 65 subjects with postgastrectomy stump's cancer has been managed at Clinic of surgery in Hradec Králové starting from 1955 to 1984. An interval averaged as 26.4 years followed from the gastrectomy up to the cancer' occurrence in postgastrectomy stump. Such an interval was stated to be longer in gastrectomized younger patients. Postgastrectomies of II. type resulted in stomach stump's cancer most frequently. Authors preclude the postgastrectomy patients (II. type especially) are a group of cancer's risk in stomach stump, and are recommended to be covered with the out-patient care. The appropriate findings are compared to those of worldwide literary sources.",Voboril Z; Pavlata J,Sbornik vedeckych praci Lekarske fakulty Karlovy univerzity v Hradci Kralove. Supplementum,{'Year': '1990'}
16676599,[Application of Excel Visual Basic for efficiently complete statistic analysis].,"In order to analyze multiple statistic tables more efficiently Excel Visual Basic for Application (VBA) was introduced through the use of an example of calculating standardized mortality rates (SMRs). Mortality data of cancer and cardiovascular diseases, by sex and age, have been collected from 1991 to 2003 by the Center for Disease Control and Prevention of Shanghai Huangpu District. Standard population composition was defined as Chinese census statistics in 2000. The male's SMRs were calculated, using Excel VBA for each year and classification of cancers. The male's SMRs were obtained by year and different cancers. At the same time, the results were listed in the cancer's SMRs table for male. Excel is more flexible than general database on the combination of data and annotation. Excel VBA is better than the basic Excel in operating multiple tables simultaneously and man-machine conversation. Statistic analysis can be efficiently completed by using Excel VBA.",Hou XH; Shen FJ; Wang JH; Jiang QW,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,"{'Year': '2005', 'Month': 'Dec'}"
27299734,Association of the recurrence and canceration rate of vocal leukoplakia with interleukin-10 promoter variants over a 2-year period.,"Conclusion This study indicates that IL-10 promoter polymorphism variants, smoking, and alcohol consumption increase the risk of recurrence and canceration in vocal leukoplakia. Objective This prospective, clinical trial was performed to evaluate the association of interleukin (IL)-10 promoter polymorphism variants and canceration and recurrence rates in vocal leukoplakia (a pre-cancerous laryngeal carcinoma lesion) over a 2-year period. Participants and method Sixty-one post-operative patients with vocal leukoplakia were enrolled in this prospective, observational study and genotyped for the IL-10 promoter gene (IL-10-1082 A/G, -819 T/C and -592 A/C) using pyrosequencing, and responded to a 2-year follow-up survey. Recurrence and canceration rates were used to evaluate the association between the genotype variants and the clinical outcome. Results There was an increased canceration rate in the variant genotype group compared to that in the normal genotype group in the 2-year follow-up period (18.4% vs 0%, p-value = 0.038). Compared with the non-smoker group, the smoker group had a higher recurrence rate of vocal leukoplakia (29.3% vs 5%, p-value =0.044). Likewise, the recurrence rate in the alcohol consumption group was also higher (30.6% vs 8%, p-value =0.034). The percentage of cancerization in the alcohol consumption group was significantly higher than that in the non-alcohol consumption group (19.4% vs 0%, p-value =0.035).",Zhou J; Zhang D; Zhou L; Yang Y; Liu F; Tao L; Lu LM,Acta oto-laryngologica,"{'Year': '2016', 'Month': 'Nov'}"
11983133,[Determination and the significance of three types of GGT mRNA in human liver tissues].,"To explore the relationship between the alteration in GGT mRNA expression and the development of HCC. Three GGT mRNA types (F, H, and P) in normal liver tissues, diseased liver tissues without HCC, cancerous and noncancerous tissues from livers with HCC, and noncancerous tissues from livers with metastatic tumor were tested by RT-PCR. In normal livers, the main type of GGT mRNA was type F. In liver diseases but not HCC, the distribution of the type GGT mRNA was nearly the same as in normal livers. The prevalence of type H was significantly higher in both cancerous and noncancerous tissues of livers with HCC than in livers without HCC (P<0.05). The prevalence of type F in cancerous tissues was significantly lower than that in livers without HCC (P<0.05). The GGT mRNA expression in the human liver will shift from type F to type H during the development of HCC. The fragment analysis of GGT genes may be a sensitive assay to detect hepatic cell canceration.",Han G; Qin C,Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology,"{'Year': '2002', 'Month': 'Apr'}"
8732138,"[Study on mitochondrial ultrastructure, trace elements and correlative factors of gastric mucosa in patients with spleen deficiency syndrome].","Eighty-eight gastropathic patients with Spleen deficiency syndrome by using transmission electron microscope (TEM), X-ray energy disperse analysis system (EDAX), histochemical staining and radioimmuno methods were examined. The authors found that the gastric mucosa cAMP, SOD level, the quantity of mitochondria and its crista, the ratio of diameter between ventricle and cavity of mitochondria and the content of Zn, Cu of mitochondria were reduced in the trend of healthy control group, Spleen Qi deficiency group, Spleen deficiency with Qi stagnation group; chronic superficial gastritis group, chronic atrophic gastritis group, gastric cancer group: complete small intestinal metaplasia group, incomplete small intestinal metaplasia group, complete colonic intestinal metaplasia group, incomplete colonic intestinal metaplasia group (P < 0.05-0.001). While the degeneration rate of mitochondria, the Cu/Zn ratio of mitochondria, the metaplasia rate of gastric, the rate of incomplete colonic intestinal metaplasia and the content of serum LPO were increased in the above turn. It is suggested that the comprehensive effect of the degeneration of mitochondria and the quantitative changes of its correlative factors is the physiopathologic base for inducing Spleen deficiency disease, gastric mucosa metaplasia and canceration. Much attention must be paid in clinic to the cancerization trend of gastric disease with Spleen deficiency syndrome.",Yin GY; He XF; Yin YF,Zhongguo Zhong xi yi jie he za zhi Zhongguo Zhongxiyi jiehe zazhi = Chinese journal of integrated traditional and Western medicine,"{'Year': '1995', 'Month': 'Dec'}"
17280618,Immunostimulation and immunoinhibition of premalignant lesions.,"The immune reaction may be either stimulatory or inhibitory to tumor growth, depending upon the local ratio of immune reactants to tumor cells. A tumor-stimulatory immune response may be essential for survival of a neoplasm in vivo and for the biological progression from a premalignant lesion to a malignancy. Neither a positive nor a negative correlation between the magnitude of an immune-cell infiltrate and a cancer's prognosis can reveal whether the infiltrate was stimulating or inhibiting to the tumor's growth unless the position on the nonlinear curve that relates tumor growth to the magnitude of the immune reaction is known. This hypothesis is discussed in relation to the development of human malignant melanomas and colorectal cancers.",Prehn RT,Theoretical biology & medical modelling,"{'Year': '2007', 'Month': 'Feb', 'Day': '06'}"
8453641,Discordant p53 gene mutations in primary head and neck cancers and corresponding second primary cancers of the upper aerodigestive tract.,"Patients with primary head and neck malignancies have a 3-7% yearly incidence of second primary cancers. It is thought that these second primary cancers arise independently following exposure to a common carcinogen by a process that has been called field cancerization. Since mutations in the p53 tumor suppressor gene represent a genetic alteration occurring during the evolution of premalignant lesions to malignancies of the upper aerodigestive tract, we analyzed mutations in the p53 gene of patients with cancer of the head and neck who developed second primary tumors of the upper aerodigestive tract epithelium to test the field cancerization hypothesis. DNA was extracted from primary head and neck cancers and second primary cancers of 31 patients. DNA from exons 5-8 of the p53 gene was analyzed by the single strand conformation polymorphism technique to identify the locations of the mutations in different regions of the gene. DNA from 6 patients was also sequenced by the chain termination method to confirm the presence of mutations and determine the base substitutions. Twenty-one of the 31 patients had 1 or more p53 mutations. In all 21 cases the genetic lesions were discordant such that the presence or location of the mutations in the initial primary cancer differed from those of the second and third primary cancers. In each of the five patients with mutations in both primary tumors, the mutations occurred in different regions of the p53 gene. Of the other 16 patients, 8 had a p53 mutation in the first primary but not the subsequent primary cancer and the other 8 had no mutation in the initial primary but did have a mutation in subsequent primary cancers. Sequencing confirmed the single strand conformation polymorphism analysis and showed that 73% of the mutations were transitions. The discordant p53 mutations in second primary cancers arising in patients with primary epithelial cancer of the upper aerodigestive tract suggest that these cancers arise as independent events. These observations provide the first demonstration of a molecular basis for field cancerization effects in cancers of the upper aerodigestive tract.",Chung KY; Mukhopadhyay T; Kim J; Casson A; Ro JY; Goepfert H; Hong WK; Roth JA,Cancer research,"{'Year': '1993', 'Month': 'Apr', 'Day': '01'}"
17459204,[Clonality of the peripheral papilloma and cancerous cells of breast].,"To study the clonality status of peripheral papilloma (peri-MP), ductal carcinoma in situ (DCIS), and normal tissue of the breast using an assay based on inactivation mosaicism of the length-polymorphic X-chromosomes at the androgen receptor (AR) locus and to explore a reliable way to distinguish the benign and malignant (or pre-malignant) cases judged morphologically. Specimens of breast tissues were obtained from 26 cases of peri-PM, 25 cases of peri-PM with atypical ductal hyperplasia (ADH), and 27 cases pf DCIS, 16 cases of developed canceration, and 20 normal women. DNA was extracted and amplified via nested-PCR with or without previous digestion by the methylation-sensitive restriction endonuclease Hha I. The products were resolved on denaturing polyacrylamide gels and visualized through silver staining. The clonality of these samples was analyzed by showing the lanes. Loss of polymorphism at the AR locus was found in all the cases with DCIS and in 10 cases (10/25, 40.0%) of peri-PM with ADH, indicating the monoclonality of the tumor. Twenty-four cases (92.3%) of the 26 cases with peri-PM and the 20 specimens of normal tissue were shown to be polyclonal. In the 16 cases of developed canceration identical X chromosome inactivation (monoclonal alterations) was observed in the cancer focus, parts of peri-PM with ADH, and the part of DCIS. Normal breast tissue and peri-PM show polyclonality and the peri-PM with ADH shows monoclonality. Clonality analysis may be a useful modality to screen high-risk cases from precancerous lesions or to distinguish between the benign hyperplasia and early carcinoma.",Niu Y; Yu Q; Yu Y; Ding XM; Shi YR,Zhonghua yi xue za zhi,"{'Year': '2007', 'Month': 'Feb', 'Day': '27'}"
2832807,Sclerosing adenosis cancerized by intraductal carcinoma.,"Sclerosing adenosis is a common proliferative lesion of the mammary lobule which is not associated with an increased risk of developing breast cancer. An unusual case of florid sclerosing adenosis showing extensive cancerization by intraductal carcinoma is reported. The neoplastic nature of the sclerosing lesion can be recognized by the unusual distension of the tubules by cells and the subtle cytological changes, and further confirmed by finding foci of classical intraductal carcinoma.",Chan JK; Ng WF,Pathology,"{'Year': '1987', 'Month': 'Oct'}"
10572675,[Relationship between methylation status of gamma-glutamyl transpeptidase (GGT) genes and abnormal expression of its enzyme proteins in tissues of human hepatomas].,"To explore the mechanism of expression and alteration of gamma-glutamyl transpeptidase (GGT) genes during the development of human hepatomas. The total GGT protein and total RNA were purified in human hepatomas, adjacent paracancerous and distal cancerous tissues. The specific activities of total GGT, membrane-combine GGT and soluble GGT were investigated, the GGT gene of 5'-NC region was amplified by using a nest RT-PCR assay, and methylation status of GGT gene M3 site were analyzed in the present study. An increasing tendency (P < 0.05) of total RNA concentrations was found from cancer in distal cancerous tissues; the specific activities (U/g) of total GGT, membrane-combine GGT and soluble GGT were significantly higher (P < 0.05) in hepatomas than those in adjacent paracancerous or and that distal cancerous tissues; and the frequencies of amplified fragment and hypomethylated M3 site of GGT 5'-NC region genes were 100% and 75% in hepatomas, 85% and 55% in adjacent cancerous, and 75% and 50% in distal cancerous tissues, respectively. The present data suggest that the abnormal expression of GGT proteins in hepatomas was related to hypomethylation status of GGT genes, and that the fragment analysis of the GGT genes might be a sensitive assay to monitor the hepatic cell canceration.",Yao D; Tang Q; Meng X,Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology,"{'Year': '1999', 'Month': 'Sep'}"
10370668,Survival after repeat hepatic resection for recurrent colorectal metastases.,"This is a retrospective study examining survival of patients undergoing repeat hepatic resection for recurrent colorectal metastases. The records of 41 patients undergoing hepatic resection for metastatic colorectal cancer were reviewed. Curative resections (negative resection margin and no extrahepatic disease) were attempted in all patients. Recurrence developed in 26 (63%) patients, with disease being confined to the liver in 16 (39%) patients. Ten of them (24%) underwent hepatic resection and make up the study population. Ten patients (4 women, 6 men; mean age: 62 years, range: 50-82 years) developed recurrence confined to the liver at the median interval of 16 months (range: 5-34 months) after the first hepatectomy. In 6 patients the recurrent cancer(s) involved both the area near the resection line and remote sites from the site of the first hepatic resection. In 3 patients recurrent cancer(s) was located at sites remote from the first liver resection. In 1 patient the recurrent cancer was located in the same area as the original hepatic resection. Three formal hepatectomies and seven non-anatomical (wedge) resections were performed. The mean blood loss was 900 cc (range: 100-2700 cc); the mean hospital stay was 19 days (range: 8-34 days). There was no perioperative mortality. Morbidity was 20%. Four patients died of recurrent disease, with a mean disease-free survival of 13 months (range: 5-21 months). Two patients had a second recurrence resected at 10 and 24 months, respectively, after the second hepatic resection. One of these 2 patients had a fourth hepatic resection for hepatic recurrence and is still alive with no evidence of disease. Six patients are alive, 4 of them without evidence of disease, with a median follow-up time of 30 months (range: 22-64 months). Actuarial 4-year specific survival was 44%. Actuarial disease-free survival at 4 years was 18%. In appropriately selected patients, repeat hepatic resection for colorectal metastases is a worthwhile treatment. Mortality, morbidity, and survival are similar to those following the initial resection.",Chiappa A; Zbar AP; Biella F; Staudacher C,Hepato-gastroenterology,"{'Year': '1999', 'Season': 'Mar-Apr'}"
21429429,[An analysis on the clinicopathological characteristics of 79 cases atypical endometrial hyperplasia].,"To explore the clinicopathological characteristics in atypical endometrial hyperplasia patients. A retrospective study was carried out on 79 cases with atypical endometrial hyperplasia patients admitted to Department of Gynecology, Peking University People's Hospital from Mar. 2007 to Jul. 2010. All patients were divided into two groups, hyperplasia group (merely atypical endometrial hyperplasia, 49 cases, 62%) and cancerization group (atypical endometrial hyperplasia accompanying endometrial carcinoma, 30 cases, 38%). The mean age of 79 cases were (50 ± 11) years old, while they were (50 ± 10) and (51 ± 11) years old for hyperplasia group and cancerization group, there were not difference (P = 0.994). The gravidity and delivery frequencies were also not differently between two groups. The rates of complicated other diseases were 47% (23/49) and 43% (13/30), which was not significantly different (P = 0.755). The body mass index (BMI) of cancerization group was higher than that of hyperplasia group [(27.9 ± 5.4) vs. (25.2 ± 2.9) kg/m², P = 0.024]. There were 50% (15/30) and 31% (15/49) menopause cases in two groups, respectively. Among them there were 13/15 and 8/15 cases showed vaginal bleeding. Among premenopausal patients, there were 12/15 and 68% (23/34) showed abnormal vaginal bleeding, but there were not significantly different between two groups (all P > 0.05). The uterine cavity mass found by ultrasonography in the cancerization group patients was more than that in hyperplasia group [73% (22/30) vs. 51% (25/49), P = 0.050]. There were 23 cases (29%), 44 cases (56%) and 12 cases (15%) were diagnosed by dilatation and curettage (D&G), hysteroscopy and hysterectomy, respectively. The rates of diagnosing atypical endometrial hyperplasia by D&G and hysteroscopy were 87% (21/23) and 93% (41/44), respectively. The rate of diagnosis of canceration were 6/12 and 12/16, respectively. While, the rate of missed diagnosis of canceration in the atypical endometrial hyperplasia patients by D&G and hysteroscopy were 6/13 and 19% (4/21), respectively. Which all did not shown significantly different (P > 0.05). Hysteroscopy or D&G should be chosen on those peri-menopausal patients with abnormal bleeding, while those atypical endometrial hyperplasia patients with high BMI and uterine cavity mass diagnosed with D&G and ultrasonography should consider the possibility of canceration.",Wang ZQ; Yang XQ; Wang JL; Xie JL; Shen DH; Wei LH,Zhonghua fu chan ke za zhi,"{'Year': '2011', 'Month': 'Jan'}"
6680201,Radiotherapy and cellular infiltration of tumor nests.,"There are several opinions which deny the therapeutic effects of preoperative irradiation. However, we have obtained favorable results in treating advanced breast and stomach cancers with preoperative irradiation using a less-fractionated irradiation method with a large dose instead of the conventional fractionated one. We adapted this kind of radiation method to improve resectability and to enhance the antigenicity of the cancer cells so as to inhibit the suppression of the immune reaction in the host. After preoperative irradiation, we examined the resected specimen histopathologically. Remarkable cellular infiltrations, such as neutrocytes, lymphocytes, macrophages and plasma cells of the tumor nests were observed; and these cellular infiltrations, after preoperative irradiation, were more remarkable than the cases without radiotherapy or with conventional fractionated radiotherapy. These cellular infiltrations suggest participation of immunoreaction and we are convinced that this kind of preoperative irradiation could enhance positive immunoreactions. The indications are that this kind of preoperative irradiation of advanced breast and stomach cancer significantly improve the cancer's resectability and curability.",Mikuriya S; Oh'ami H,Radiation medicine,"{'Year': '1983', 'Season': 'Jul-Sep'}"
